Title,Staff,Format,Status,Cur Volumes,Max Volumes,Demographic,Cost,Score,Volumes Read,Notes
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Hirohiko Araki,Manga,Finished,18,18,,¥0,0,0,
JoJo no Kimyou na Bouken: JoJolion,Hirohiko Araki,Manga,Finished,0,27,,¥0,0,0,
JoJo no Kimyou na Bouken: Ougon no Kaze,Hirohiko Araki,Manga,Finished,17,17,,¥0,0,0,
JoJo no Kimyou na Bouken: Phantom Blood,Hirohiko Araki,Manga,Finished,5,5,,¥0,0,0,
JoJo no Kimyou na Bouken: Sentou Chouryuu,Hirohiko Araki,Manga,Finished,7,7,,¥0,0,0,
JoJo no Kimyou na Bouken: Stardust Crusaders,Hirohiko Araki,Manga,Finished,16,16,,¥0,0,0,
JoJo no Kimyou na Bouken: Steel Ball Run,Hirohiko Araki,Manga,Finished,24,24,,¥0,0,0,
JoJo no Kimyou na Bouken: Stone Ocean,Hirohiko Araki,Manga,Finished,17,17,,¥0,0,0,
Joshikousei to Seishokusha-san,Roro Zaisei,Manga,Finished,1,3,,¥0,0,0,
Kaichou wa Maid-sama!,Hiro Fujiwara,Manga,Finished,0,18,,¥0,0,0,
Kaichou wa Maid-sama!: Marriage,Hiro Fujiwara,Manga,Finished,0,1,,¥0,0,0,
Kaii to Otome to Kamikakushi,Nujima,Manga,Ongoing,4,5,,¥0,0,0,
Kaijuu 8-gou,Naoya Matsumoto,Manga,Ongoing,7,8,,¥0,0,0,
Kajiya de Hajimeru Isekai Slow Life,Tamamaru | Kinta | Yoshino Himori,Manga,Ongoing,1,3,,¥0,0,0,
Kaminaki Sekai no Kamisama Katsudou,Aoi Akashiro | Hangetsuban Sonshou,Manga,Ongoing,3,4,,¥0,0,0,
Kaoru Hana wa Rin to Saku,Saka Mikami,Manga,Ongoing,0,7,,¥0,0,0,
Katekyo Hitman REBORN!,Akira Amano,Manga,Finished,42,42,,¥0,0,0,
Kekkaishi,Yellow Tanabe,Manga,Finished,0,35,,¥0,0,0,
Kemono Jihen,Shou Aimoto,Manga,Ongoing,18,19,,¥0,0,0,
Kengan Ashura,Daromeon | Yabako Sandrovich,Manga,Finished,28,28,,¥0,0,0,Includes volume 0
Kijin Gentoushou,Yuu Satomi | Motoo Nakanishi,Manga,Ongoing,3,3,,¥0,0,0,
Killing Bites,Kazuasa Sumita,Manga,Ongoing,0,21,,¥0,0,0,
Kimi ni Todoke,Karuho Shiina,Manga,Finished,1,30,,¥0,0,0,
Koukyoushihen Eureka Seven,Kazuma Kondou | Jinsei Kataoka,Manga,Finished,0,6,,¥0,0,0,
Kuroko no Basket,Tadatoshi Fujimaki,Manga,Finished,0,30,,¥0,0,0,
Kuutei Dragons,Taku Kuwabara,Manga,Ongoing,3,14,,¥0,0,0,
Magi,Shinobu Ootaka,Manga,Finished,37,37,,¥0,0,0,
Magi: Sinbad no Bouken,Shinobu Ootaka | Yoshifumi Ootera,Manga,Finished,0,19,,¥0,0,0,OOP
Mahouka Koukou no Rettousei: Double Seven-hen,Tsuna Kitaumi | Tsutomu Satou | Kana Ishida,Manga,Finished,3,3,,¥0,0,0,
Mahouka Koukou no Rettousei: Kaichou Senkyo-hen,Tsutomu Satou | Yuzuki N' | Kana Ishida,Manga,Finished,1,1,,¥0,0,0,
Mahouka Koukou no Rettousei: Koto Nairan-hen,Tsutomu Satou | Yuzuki N' | Kana Ishida,Manga,Finished,0,5,,¥0,0,0,
Mahouka Koukou no Rettousei: Kyuukousen-hen,Tsuna Kitaumi | Tsutomu Satou | Kana Ishida,Manga,Finished,4,5,,¥0,0,0,Vol 4 OOP
Mahouka Koukou no Rettousei: Nankai Soujou-hen,Aonagi Nobu | Tsutomu Satou | Kana Ishida,Manga,Ongoing,0,1,,¥0,0,0,
Mahouka Koukou no Rettousei: Natsuyasumi-hen,Yuzuki N' | Tsutomu Satou | Kana Ishida,Manga,Finished,3,3,,¥0,0,0,
Mahouka Koukou no Rettousei: Nyuugaku-hen,Tsuna Kitaumi | Tsutomu Satou | Kana Ishida,Manga,Finished,4,4,,¥0,0,0,
Mahouka Koukou no Rettousei: Raihousha-hen,Tsutomu Satou | Majiko! | Kana Ishida,Manga,Finished,7,7,,¥0,0,0,
Mahouka Koukou no Rettousei: Shizoku Kaigi-hen,Hasumi Takeda | Tsutomu Satou | Kana Ishida,Manga,Ongoing,0,5,,¥0,0,0,
Mahouka Koukou no Rettousei: Steeplechase-hen,Tsutomu Satou | Aonagi Nobu | Kana Ishida,Manga,Finished,0,3,,¥0,0,0,Vol 2 & 3 OOP
Mahouka Koukou no Rettousei: Tsuioku-hen,Tsutomu Satou | Waki Ikawa | Kana Ishida,Manga,Finished,3,3,,¥0,0,0,
Mahouka Koukou no Rettousei: Yokohama Souran-hen,Tsutomu Satou | Kana Ishida | Gin Amou,Manga,Finished,0,5,,¥0,0,0,Vol 5 OOP
Mahouka Koukou no Rettousei: Yotsuba Keishou-hen,Tsutomu Satou | Kana Ishida | Tsuna Kitaumi,Manga,Finished,1,3,,¥0,0,0,
Mahoutsukai no Yome,Kore Yamazaki,Manga,Ongoing,4,19,,¥0,0,0,
Maid-san wa Taberu dake,Susumu Maeya,Manga,Ongoing,4,4,,¥0,0,0,
Mato Seihei no Slave,Youhei Takemura | Takahiro,Manga,Ongoing,12,13,,¥0,0,0,
Meikyuu Black Company,Youhei Yasumura,Manga,Ongoing,0,10,,¥0,0,0,
Mononogatari,Onigunsou,Manga,Ongoing,0,15,,¥0,0,0,
MONSTER,Naoki Urasawa,Manga,Finished,0,18,,¥0,0,0,
NARUTO,Masashi Kishimoto,Manga,Finished,42,72,,¥0,0,0,
New Grappler Baki: In Search of Our Strongest Hero,Keisuke Itagaki,Manga,Finished,10,31,,¥0,0,0,
New Normal,Akito Aihara,Manga,Ongoing,3,4,,¥0,0,0,
Odd Taxi,Takeichi Abaraya | Kazuya Konomoto,Manga,Finished,0,5,,¥0,0,0,
ONE PIECE,Eiichirou Oda,Manga,Ongoing,0,105,,¥0,0,0,
One Punch-Man,ONE | Yuusuke Murata,Manga,Ongoing,0,27,,¥0,0,0,
Ottoman,Shinnosuke Kanazawa,Manga,Finished,3,5,,¥0,0,0,
Overlord,Fugin Miyama | Kugane Maruyama | so-bin,Manga,Ongoing,0,17,,¥0,0,0,
Persona 4,Shuji Sogabe | Atlus,Manga,Finished,0,13,,¥0,0,0,
RahXephon,Hiroshi Oonogi | Akihiro Yamada,Novel,Finished,6,6,,¥0,0,0,Includes additional novel seperate from series
Rosario to Vampire,Akihisa Ikeda,Manga,Finished,10,10,,¥0,0,0,
Rosario to Vampire: Season II,Akihisa Ikeda,Manga,Finished,14,14,,¥0,0,0,OOP
Ruri Dragon,Shindou Masaoki,Manga,Hiatus,1,1,,¥0,0,0,
San Tairiku Eiyuuki,Sakura Sakuragi | Kaito Shibano | Yuu Kamiya,Manga,Finished,4,4,,¥0,0,0,
Sekai Saikyou no Kouei: Meikyuukoku no Shinjin Tansakusha,Rikizo | Huuka Kazabana | Toowa Akatsuki,Manga,Ongoing,6,7,,¥0,0,0,
Sekirei,Sakurako Gokurakuin,Manga,Finished,19,19,,¥0,0,0,
Sentai Daishikkaku,Negi Haruba,Manga,Ongoing,5,8,,¥0,0,0,
Shadows House,Soumatou,Manga,Ongoing,11,12,,¥0,0,0,
Shuumatsu no Harem Fantasia,LINK | SAVAN,Manga,Ongoing,12,13,,¥0,0,0,
Snowball Earth,Yuuhirou Tsujiji,Manga,Ongoing,4,5,,¥0,0,0,
Sono Bisque Doll wa Koi wo Suru,Shinichi Fukuda,Manga,Ongoing,5,10,,¥0,0,0,
Souda, Baikoku shiyou: Tensai Ouji no Akaji Kokka Saisei Jutsu,Fal Maro | Tooru Toba | Emuda,Manga,Ongoing,7,8,,¥0,0,0,
Sousou no Frieren,Kanehito Yamada | Tsukasa Abe,Manga,Ongoing,6,10,,¥0,0,0,
SPY×FAMILY,Tatsuya Endou,Manga,Ongoing,7,10,,¥0,0,0,
Takopii no Genzai,Taizan 5,Manga,Finished,2,2,,¥0,0,0,
Tengen Toppa Gurren Lagann,Kazuki Nakashima | Kotarou Mori,Manga,Finished,0,10,,¥0,0,0,
Tensei Shitara Slime Datta Ken,Fuse | Taiki Kawakami | Mitz Vah,Manga,Ongoing,11,22,,¥0,0,0,Vol 1,2,4,5,14,17,18.19,20,21,22
Tonari no Kaibutsu-kun,Robico,Manga,Finished,13,13,,¥0,0,0,
Totsukuni no Shoujo,Nagabe,Manga,Finished,11,11,,¥0,0,0,
Touge Oni,Kenji Tsurubachi,Manga,Ongoing,5,6,,¥0,0,0,
Tsue to Tsurugi no Wistoria,Fujino Oomori | Toshi Aoi,Manga,Ongoing,5,6,,¥0,0,0,
Tsugumomo,Yoshikazu Hamada,Manga,Ongoing,31,31,,¥0,0,0,Count includes Vol 18.5
Tsuki ga Michibiku Isekai Douchuu,Kei Azumi | Kotora Kino | Mitsuaki Matsumoto,Manga,Ongoing,11,11,,¥0,0,0,
Vampire Knight,Matsuri Hino,Manga,Finished,19,19,,¥0,0,0,
Vampire Knight: Memories,Matsuri Hino,Manga,Ongoing,0,8,,¥0,0,0,
Veil,Ikumi Fukuda,Manga,Ongoing,5,5,,¥0,0,0,
Witch Craft Works,Ryuu Mizunagi,Manga,Finished,17,17,,¥0,0,0,
Wolf Guy: Ookami no Monshou,Yoshiaki Tabata | Yuuki Yogo,Manga,Finished,0,12,,¥0,0,0,
World Trigger,Daisuke Ashihara,Manga,Ongoing,25,25,,¥0,0,0,
Wotaku ni Koi wa Muzukashii,Fujita,Manga,Finished,0,11,,¥0,0,0,
Yancha Gal no Anjou-san,Yuuichi Katou,Manga,Ongoing,11,11,,¥0,0,0,
Yofukashi no Uta,Kotoyama,Manga,Ongoing,15,16,,¥0,0,0,Does not include character book
Yomi no Tsugai,Hiromu Arakawa,Manga,Ongoing,0,3,,¥0,0,0,
Yozakura-san Chi no Daisakusen,Hitsuji Gondaira,Manga,Ongoing,9,16,,¥0,0,0,
Yu☆Gi☆Oh!,Kazuki Takahashi,Manga,Finished,0,38,,¥0,0,0,
Yu☆Gi☆Oh! GX,Kazuki Takahashi | Naoyuki Kageyama,Manga,Finished,0,9,,¥0,0,0,
Yu☆Gi☆Oh! R,Kazuki Takahashi | Akira Itou,Manga,Finished,0,5,,¥0,0,0,
Yuu☆Yuu☆Hakusho,Yoshihiro Togashi,Manga,Finished,0,19,,¥0,0,0,
ZETMAN,Masakazu Katsura,Manga,Finished,0,20,,¥0,0,0,
